Minute,PDF_Probability,CDF_Cumulative
0,0.083333,0.0
1,0.07667,0.079956
2,0.07054,0.153518
3,0.0649,0.221199
4,0.059711,0.283469
5,0.054937,0.340759
6,0.050544,0.393469
7,0.046503,0.441965
8,0.042785,0.486583
9,0.039364,0.527633
10,0.036217,0.565402
11,0.033321,0.60015
12,0.030657,0.632121
13,0.028205,0.661535
14,0.02595,0.688597
15,0.023875,0.713495
16,0.021966,0.736403
17,0.02021,0.757479
18,0.018594,0.77687
19,0.017107,0.79471
20,0.01574,0.811124
21,0.014481,0.826226
22,0.013323,0.84012
23,0.012258,0.852904
24,0.011278,0.864665
25,0.010376,0.875486
26,0.009547,0.885441
27,0.008783,0.894601
28,0.008081,0.903028
29,0.007435,0.910781
30,0.00684,0.917915
31,0.006293,0.924478
32,0.00579,0.930517
33,0.005327,0.936072
34,0.004901,0.941184
35,0.004509,0.945886
36,0.004149,0.950213
37,0.003817,0.954194
38,0.003512,0.957856
39,0.003231,0.961226
40,0.002973,0.964326
41,0.002735,0.967178
42,0.002516,0.969803
43,0.002315,0.972217
44,0.00213,0.974438
45,0.00196,0.976482
46,0.001803,0.978363
47,0.001659,0.980093
48,0.001526,0.981684
49,0.001404,0.983149
50,0.001292,0.984496
51,0.001189,0.985736
52,0.001094,0.986876
53,0.001006,0.987926
54,0.000926,0.988891
55,0.000852,0.989779
56,0.000784,0.990596
57,0.000721,0.991348
58,0.000663,0.99204
59,0.00061,0.992676
60,0.000561,0.993262
